=== DVD Bounce Heading Selection ===
DVD heading selections so far: 5
Successful interaction entries: 2
Completed 30 s interactions: 2
Abandoned before interaction: 0
Abandoned after interaction: 0
Cooldown ignored detections: 17
Current human phase: APPROACH
Reposition commits: 0
Settle successes: 2

Open beam rule: inf OR range >= 4.5000 m
Minimum accepted sector width: 18.0000 deg
Sector edge margin: 8.0000 deg
Preferred bounce band: +/-55.0000 to +/-150.0000 deg
Fallback bounce band: +/-35.0000 to +/-165.0000 deg

Accepted open sectors: 2
Widest open sector beams: 208
Preferred left candidates: 116
Preferred right candidates: 102
Fallback candidates: 288

=== Result ===
Selected behaviour: preferred random side-bounce
Selected side: right/negative
Selected index: 123
Selected angle: -118.4144 deg
Representative range: 4.7639 m

=== Laser Scan Values ===
  [ 176]  angle= -91.8775 deg  range=4.5766 m  open=yes  preferred=yes
  [ 177]  angle= -91.3768 deg  range=4.5205 m  open=yes  preferred=yes
  [ 178]  angle= -90.8762 deg  range=4.4661 m  open=no  preferred=yes
  [ 179]  angle= -90.3755 deg  range=4.4134 m  open=no  preferred=yes
  [ 180]  angle= -89.8748 deg  range=4.3622 m  open=no  preferred=yes
  [ 181]  angle= -89.3741 deg  range=4.3125 m  open=no  preferred=yes
  [ 182]  angle= -88.8734 deg  range=4.2643 m  open=no  preferred=yes
  [ 183]  angle= -88.3727 deg  range=4.2174 m  open=no  preferred=yes
  [ 184]  angle= -87.8720 deg  range=4.1719 m  open=no  preferred=yes
  [ 185]  angle= -87.3713 deg  range=4.1277 m  open=no  preferred=yes
  [ 186]  angle= -86.8706 deg  range=4.0847 m  open=no  preferred=yes
  [ 187]  angle= -86.3699 deg  range=4.0428 m  open=no  preferred=yes
  [ 188]  angle= -85.8692 deg  range=4.0022 m  open=no  preferred=yes
  [ 189]  angle= -85.3685 deg  range=3.9626 m  open=no  preferred=yes
  [ 190]  angle= -84.8678 deg  range=3.9242 m  open=no  preferred=yes
  [ 191]  angle= -84.3671 deg  range=3.8867 m  open=no  preferred=yes
  [ 192]  angle= -83.8664 deg  range=3.8503 m  open=no  preferred=yes
  [ 193]  angle= -83.3657 deg  range=3.8148 m  open=no  preferred=yes
  [ 194]  angle= -82.8650 deg  range=3.7802 m  open=no  preferred=yes
