=== Laser Scan Values ===
  [ 291]  angle= -34.2976 deg  range=1.4436 m
  [ 292]  angle= -33.7969 deg  range=1.4457 m
  [ 293]  angle= -33.2962 deg  range=1.4480 m
  [ 294]  angle= -32.7955 deg  range=1.4504 m
  [ 295]  angle= -32.2948 deg  range=1.4529 m
  [ 296]  angle= -31.7941 deg  range=1.4556 m
  [ 297]  angle= -31.2934 deg  range=1.4583 m
  [ 298]  angle= -30.7928 deg  range=1.4612 m
  [ 299]  angle= -30.2921 deg  range=1.4642 m
  [ 300]  angle= -29.7914 deg  range=1.4673 m
  [ 301]  angle= -29.2907 deg  range=1.4705 m
  [ 302]  angle= -28.7900 deg  range=1.4739 m
  [ 303]  angle= -28.2893 deg  range=1.4774 m
  [ 304]  angle= -27.7886 deg  range=1.4811 m
  [ 305]  angle= -27.2879 deg  range=1.4848 m
  [ 306]  angle= -26.7872 deg  range=1.4887 m
  [ 307]  angle= -26.2865 deg  range=1.4928 m
  [ 308]  angle= -25.7858 deg  range=1.4969 m
  [ 309]  angle= -25.2851 deg  range=1.5012 m
  [ 310]  angle= -24.7844 deg  range=1.5057 m
  [ 311]  angle= -24.2837 deg  range=1.5103 m
  [ 312]  angle= -23.7830 deg  range=1.5150 m
  [ 313]  angle= -23.2823 deg  range=1.5199 m
  [ 314]  angle= -22.7816 deg  range=1.5249 m
  [ 315]  angle= -22.2809 deg  range=1.5301 m
  [ 316]  angle= -21.7802 deg  range=1.5354 m
  [ 317]  angle= -21.2795 deg  range=1.5409 m
  [ 318]  angle= -20.7789 deg  range=1.5466 m
  [ 319]  angle= -20.2782 deg  range=1.5524 m
  [ 320]  angle= -19.7775 deg  range=1.5584 m
  [ 321]  angle= -19.2768 deg  range=1.5645 m
  [ 322]  angle= -18.7761 deg  range=1.5708 m
  [ 323]  angle= -18.2754 deg  range=1.5773 m
  [ 324]  angle= -17.7747 deg  range=1.5839 m
  [ 325]  angle= -17.2740 deg  range=1.5908 m
  [ 326]  angle= -16.7733 deg  range=1.5978 m
  [ 327]  angle= -16.2726 deg  range=1.6050 m
  [ 328]  angle= -15.7719 deg  range=1.6124 m
  [ 329]  angle= -15.2712 deg  range=1.6199 m
  [ 330]  angle= -14.7705 deg  range=1.6277 m
  [ 331]  angle= -14.2698 deg  range=1.6357 m
  [ 332]  angle= -13.7691 deg  range=1.6439 m
  [ 333]  angle= -13.2684 deg  range=1.6523 m
  [ 334]  angle= -12.7677 deg  range=1.6609 m
  [ 335]  angle= -12.2670 deg  range=1.6697 m
  [ 336]  angle= -11.7663 deg  range=1.6787 m
  [ 337]  angle= -11.2657 deg  range=1.6880 m
  [ 338]  angle= -10.7650 deg  range=1.6975 m
  [ 339]  angle= -10.2643 deg  range=1.7073 m
  [ 340]  angle=  -9.7636 deg  range=1.7173 m
  [ 341]  angle=  -9.2629 deg  range=1.7275 m
  [ 342]  angle=  -8.7622 deg  range=1.7380 m
  [ 343]  angle=  -8.2615 deg  range=1.7488 m
  [ 344]  angle=  -7.7608 deg  range=1.7598 m
  [ 345]  angle=  -7.2601 deg  range=1.7711 m
  [ 346]  angle=  -6.7594 deg  range=1.7827 m
  [ 347]  angle=  -6.2587 deg  range=1.7946 m
  [ 348]  angle=  -5.7580 deg  range=1.8067 m
  [ 349]  angle=  -5.2573 deg  range=1.8192 m
  [ 350]  angle=  -4.7566 deg  range=1.8320 m
  [ 351]  angle=  -4.2559 deg  range=1.8451 m
  [ 352]  angle=  -3.7552 deg  range=1.8586 m
  [ 353]  angle=  -3.2545 deg  range=1.8724 m
  [ 354]  angle=  -2.7538 deg  range=1.8865 m
  [ 355]  angle=  -2.2531 deg  range=1.9010 m
  [ 356]  angle=  -1.7524 deg  range=1.9159 m
  [ 357]  angle=  -1.2518 deg  range=1.9312 m
  [ 358]  angle=  -0.7511 deg  range=1.9468 m
  [ 359]  angle=  -0.2504 deg  range=1.9629 m
  [ 360]  angle=   0.2503 deg  range=1.9794 m
  [ 361]  angle=   0.7510 deg  range=1.9963 m
  [ 362]  angle=   1.2517 deg  range=2.0137 m
  [ 363]  angle=   1.7524 deg  range=2.0315 m
  [ 364]  angle=   2.2531 deg  range=2.0498 m
  [ 365]  angle=   2.7538 deg  range=2.0686 m
  [ 366]  angle=   3.2545 deg  range=2.0879 m
  [ 367]  angle=   3.7552 deg  range=2.1077 m
  [ 368]  angle=   4.2559 deg  range=2.1281 m
  [ 369]  angle=   4.7566 deg  range=2.1491 m
  [ 370]  angle=   5.2573 deg  range=2.1706 m
  [ 371]  angle=   5.7580 deg  range=2.1927 m
  [ 372]  angle=   6.2587 deg  range=2.2155 m
  [ 373]  angle=   6.7594 deg  range=2.2389 m
